tas,"	Year", Month, Country, ISO3, ISO2
6.57893,1901,1,JOR,,
13.0505,1901,2,JOR,,
15.4636,1901,3,JOR,,
17.4771,1901,4,JOR,,
18.7775,1901,5,JOR,,
24.0059,1901,6,JOR,,
26.1274,1901,7,JOR,,
26.0447,1901,8,JOR,,
24.0299,1901,9,JOR,,
20.4474,1901,10,JOR,,
14.7253,1901,11,JOR,,
11.2237,1901,12,JOR,,
7.27435,1902,1,JOR,,
12.4139,1902,2,JOR,,
12.0454,1902,3,JOR,,
16.5781,1902,4,JOR,,
21.7738,1902,5,JOR,,
24.2438,1902,6,JOR,,
26.8054,1902,7,JOR,,
26.4936,1902,8,JOR,,
26.899,1902,9,JOR,,
21.697,1902,10,JOR,,
13.2328,1902,11,JOR,,
8.74226,1902,12,JOR,,
6.59447,1903,1,JOR,,
8.27338,1903,2,JOR,,
10.7419,1903,3,JOR,,
17.0408,1903,4,JOR,,
21.4544,1903,5,JOR,,
22.4114,1903,6,JOR,,
24.2622,1903,7,JOR,,
25.6331,1903,8,JOR,,
23.3569,1903,9,JOR,,
19.5434,1903,10,JOR,,
13.1116,1903,11,JOR,,
10.3295,1903,12,JOR,,
9.23104,1904,1,JOR,,
10.5531,1904,2,JOR,,
12.3324,1904,3,JOR,,
16.1014,1904,4,JOR,,
20.0345,1904,5,JOR,,
23.3977,1904,6,JOR,,
24.0968,1904,7,JOR,,
26.5416,1904,8,JOR,,
23.9113,1904,9,JOR,,
22.0502,1904,10,JOR,,
14.3123,1904,11,JOR,,
7.83535,1904,12,JOR,,
5.80299,1905,1,JOR,,
6.69867,1905,2,JOR,,
10.4002,1905,3,JOR,,
17.1084,1905,4,JOR,,
21.3771,1905,5,JOR,,
23.2984,1905,6,JOR,,
26.2966,1905,7,JOR,,
27.1285,1905,8,JOR,,
25.904,1905,9,JOR,,
21.4636,1905,10,JOR,,
16.3428,1905,11,JOR,,
7.72618,1905,12,JOR,,
7.12507,1906,1,JOR,,
9.35001,1906,2,JOR,,
12.198,1906,3,JOR,,
16.2237,1906,4,JOR,,
19.5004,1906,5,JOR,,
24.9336,1906,6,JOR,,
25.5833,1906,7,JOR,,
27.0559,1906,8,JOR,,
24.203,1906,9,JOR,,
20.9362,1906,10,JOR,,
14.7416,1906,11,JOR,,
11.5641,1906,12,JOR,,
7.44503,1907,1,JOR,,
8.87562,1907,2,JOR,,
10.653,1907,3,JOR,,
15.9179,1907,4,JOR,,
20.9979,1907,5,JOR,,
23.1456,1907,6,JOR,,
26.1139,1907,7,JOR,,
25.9522,1907,8,JOR,,
23.0286,1907,9,JOR,,
20.3487,1907,10,JOR,,
12.3617,1907,11,JOR,,
9.68709,1907,12,JOR,,
7.37784,1908,1,JOR,,
8.90995,1908,2,JOR,,
11.9605,1908,3,JOR,,
16.4818,1908,4,JOR,,
21.3534,1908,5,JOR,,
24.1394,1908,6,JOR,,
24.5826,1908,7,JOR,,
25.7085,1908,8,JOR,,
23.9822,1908,9,JOR,,
