tas,"	Year", Month, Country, ISO3, ISO2
19.715,1901,1,OMN,,
20.2716,1901,2,OMN,,
23.7042,1901,3,OMN,,
26.8946,1901,4,OMN,,
29.7241,1901,5,OMN,,
30.262,1901,6,OMN,,
28.9246,1901,7,OMN,,
27.6841,1901,8,OMN,,
27.7185,1901,9,OMN,,
26.3734,1901,10,OMN,,
23.9996,1901,11,OMN,,
21.6769,1901,12,OMN,,
20.4094,1902,1,OMN,,
21.099,1902,2,OMN,,
24.3526,1902,3,OMN,,
27.1908,1902,4,OMN,,
29.3213,1902,5,OMN,,
29.6473,1902,6,OMN,,
28.4298,1902,7,OMN,,
27.3734,1902,8,OMN,,
27.4048,1902,9,OMN,,
26.0349,1902,10,OMN,,
23.0376,1902,11,OMN,,
20.3915,1902,12,OMN,,
19.4782,1903,1,OMN,,
19.937,1903,2,OMN,,
22.465,1903,3,OMN,,
25.6771,1903,4,OMN,,
29.3791,1903,5,OMN,,
30.0135,1903,6,OMN,,
28.4167,1903,7,OMN,,
28.0623,1903,8,OMN,,
27.4797,1903,9,OMN,,
25.6532,1903,10,OMN,,
22.714,1903,11,OMN,,
20.4971,1903,12,OMN,,
19.8552,1904,1,OMN,,
20.532,1904,2,OMN,,
22.7767,1904,3,OMN,,
26.2642,1904,4,OMN,,
28.8203,1904,5,OMN,,
29.4639,1904,6,OMN,,
28.4643,1904,7,OMN,,
27.4113,1904,8,OMN,,
27.0575,1904,9,OMN,,
25.7504,1904,10,OMN,,
24.1445,1904,11,OMN,,
21.179,1904,12,OMN,,
19.0964,1905,1,OMN,,
19.6986,1905,2,OMN,,
22.4011,1905,3,OMN,,
26.3258,1905,4,OMN,,
29.2117,1905,5,OMN,,
29.7171,1905,6,OMN,,
28.5941,1905,7,OMN,,
27.6393,1905,8,OMN,,
27.2959,1905,9,OMN,,
26.2961,1905,10,OMN,,
23.8573,1905,11,OMN,,
21.0913,1905,12,OMN,,
19.3419,1906,1,OMN,,
19.7607,1906,2,OMN,,
22.5575,1906,3,OMN,,
25.8075,1906,4,OMN,,
29.444,1906,5,OMN,,
29.524,1906,6,OMN,,
28.4519,1906,7,OMN,,
27.1182,1906,8,OMN,,
26.8137,1906,9,OMN,,
25.8398,1906,10,OMN,,
24.4067,1906,11,OMN,,
21.8298,1906,12,OMN,,
20.0086,1907,1,OMN,,
19.6277,1907,2,OMN,,
22.9312,1907,3,OMN,,
25.8685,1907,4,OMN,,
29.1144,1907,5,OMN,,
29.539,1907,6,OMN,,
28.5836,1907,7,OMN,,
27.2729,1907,8,OMN,,
26.8983,1907,9,OMN,,
25.8592,1907,10,OMN,,
22.9923,1907,11,OMN,,
20.8311,1907,12,OMN,,
19.7826,1908,1,OMN,,
20.4972,1908,2,OMN,,
23.1475,1908,3,OMN,,
26.7448,1908,4,OMN,,
29.2635,1908,5,OMN,,
30.1727,1908,6,OMN,,
28.3703,1908,7,OMN,,
27.398,1908,8,OMN,,
27.1896,1908,9,OMN,,
25.7728,1908,10,OMN,,
23.6324,1908,11,OMN,,
21.3183,1908,12,OMN,,
19.4583,1909,1,OMN,,
20.8984,1909,2,OMN,,
23.4838,1909,3,OMN,,
26.6783,1909,4,OMN,,
29.2332,1909,5,OMN,,
29.5677,1909,6,OMN,,
28.409,1909,7,OMN,,
27.3415,1909,8,OMN,,
26.9724,1909,9,OMN,,
25.8223,1909,10,OMN,,
23.8966,1909,11,OMN,,
20.8685,1909,12,OMN,,
19.321,1910,1,OMN,,
20.7039,1910,2,OMN,,
22.4895,1910,3,OMN,,
25.8014,1910,4,OMN,,
